Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-07-14,2025 Ranked,"top2025, profile",https://boxd.it/KRHkk,

Position,Name,Year,URL,Description
1,Sinners,2025,https://boxd.it/KQMM,
2,Mickey 17,2025,https://boxd.it/q1Dk,
3,The Phoenician Scheme,2025,https://boxd.it/H0Ca,
4,"Oh, Hi!",2025,https://boxd.it/PLns,
5,Superman,2025,https://boxd.it/E9IU,
6,F1,2025,https://boxd.it/yjVM,
7,Materialists,2025,https://boxd.it/GZlW,
8,Friendship,2024,https://boxd.it/L6Dc,
9,Thunderbolts*,2025,https://boxd.it/BfbQ,
10,Companion,2025,https://boxd.it/F04o,
11,40 Acres,2024,https://boxd.it/OmWA,
12,Final Destination Bloodlines,2025,https://boxd.it/l5y4,
13,Jurassic World Rebirth,2025,https://boxd.it/KUeE,
14,One of Them Days,2025,https://boxd.it/MReU,
15,Novocaine,2025,https://boxd.it/JmdA,
16,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,
17,Karate Kid: Legends,2025,https://boxd.it/CeNc,
18,Bride Hard,2025,https://boxd.it/Gx0w,
19,A Minecraft Movie,2025,https://boxd.it/zRro,
