Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-11-22,Christmas ‘23,,https://boxd.it/qpW7k,

Position,Name,Year,URL,Description
1,The Holdovers,2023,https://boxd.it/vHza,
2,Die Hard,1988,https://boxd.it/2a7u,
3,Feast of the Seven Fishes,2019,https://boxd.it/nzPS,
4,National Lampoon's Christmas Vacation,1989,https://boxd.it/22wQ,
5,Elf,2003,https://boxd.it/1VyK,
6,Rudolph the Red-Nosed Reindeer,1964,https://boxd.it/1Qis,
7,Love Actually,2003,https://boxd.it/2aeU,
8,Cross Country Christmas,2020,https://boxd.it/rGAy,
9,Journey to Christmas,2023,https://boxd.it/ILcU,
10,Destined 2: Christmas Once More,2023,https://boxd.it/H3Lu,
