Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-24,Oscar Noms 2025 Ranked,,https://boxd.it/DmvGS,

Position,Name,Year,URL,Description
1,The Brutalist,2024,https://boxd.it/k4BO,
2,Anora,2024,https://boxd.it/Egcw,
3,Sing Sing,2023,https://boxd.it/HIBA,
4,The Substance,2024,https://boxd.it/zanS,
5,Dune: Part Two,2024,https://boxd.it/pUfA,
6,A Real Pain,2024,https://boxd.it/CjNG,
7,A Different Man,2024,https://boxd.it/BoEC,
8,Conclave,2024,https://boxd.it/AO8q,
9,Wicked,2024,https://boxd.it/e8ME,
10,Nosferatu,2024,https://boxd.it/f5eG,
11,Alien: Romulus,2024,https://boxd.it/zGqO,
12,A Complete Unknown,2024,https://boxd.it/oBYa,
13,Inside Out 2,2024,https://boxd.it/CFrC,
14,Maria,2024,https://boxd.it/Dh4c,
15,Yuck!,2024,https://boxd.it/KjJK,
16,Emilia Pérez,2024,https://boxd.it/AP3G,
