Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-03-22,2025,,https://boxd.it/FjZyc,

Position,Name,Year,URL,Description
1,40 Acres,2024,https://boxd.it/OmWA,
2,Bride Hard,2025,https://boxd.it/Gx0w,
3,Bring Her Back,2025,https://boxd.it/Hxlc,
4,Bugonia,2025,https://boxd.it/qeWY,
5,Caught Stealing,2025,https://boxd.it/LnyS,
6,Companion,2025,https://boxd.it/F04o,
7,Death of a Unicorn,2025,https://boxd.it/HCPm,
8,Eddington,2025,https://boxd.it/o6MC,
9,F1,2025,https://boxd.it/yjVM,
10,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,
11,Final Destination Bloodlines,2025,https://boxd.it/l5y4,
12,Frankenstein,2025,https://boxd.it/Ecsg,
13,Friendship,2024,https://boxd.it/L6Dc,
14,Hamnet,2025,https://boxd.it/woVy,
15,Happy Gilmore 2,2025,https://boxd.it/M8PQ,
16,The Home,2025,https://boxd.it/yUsC,
17,Honey Don't!,2025,https://boxd.it/Hurc,
18,Jay Kelly,2025,https://boxd.it/EsWw,
19,Jurassic World Rebirth,2025,https://boxd.it/KUeE,
20,Karate Kid: Legends,2025,https://boxd.it/CeNc,
21,KPop Demon Hunters,2025,https://boxd.it/ufwK,
22,Left-Handed Girl,2025,https://boxd.it/BLDW,
23,Marty Supreme,2025,https://boxd.it/Off0,
24,Materialists,2025,https://boxd.it/GZlW,
25,Mickey 17,2025,https://boxd.it/q1Dk,
26,A Minecraft Movie,2025,https://boxd.it/zRro,
27,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,
28,Mountainhead,2025,https://boxd.it/Sskq,
29,The Naked Gun,2025,https://boxd.it/Da9k,
30,Ne Zha 2,2025,https://boxd.it/B2qe,
31,No Other Choice,2025,https://boxd.it/nKiA,
32,Novocaine,2025,https://boxd.it/JmdA,
33,"Oh, Hi!",2025,https://boxd.it/PLns,
34,One Battle After Another,2025,https://boxd.it/DUHM,
35,One of Them Days,2025,https://boxd.it/MReU,
36,Opus,2025,https://boxd.it/JBMA,
37,The Phoenician Scheme,2025,https://boxd.it/H0Ca,
38,The Secret Agent,2025,https://boxd.it/KkUE,
39,Sentimental Value,2025,https://boxd.it/GwcG,
40,Sinners,2025,https://boxd.it/KQMM,
41,Smurfs,2025,https://boxd.it/zi8G,
42,"Sorry, Baby",2025,https://boxd.it/JKNi,
43,Steve,2025,https://boxd.it/LekC,
44,Superman,2025,https://boxd.it/E9IU,
45,Thunderbolts*,2025,https://boxd.it/BfbQ,
46,Together,2025,https://boxd.it/LdFE,
47,Train Dreams,2025,https://boxd.it/LdDo,
48,Wake Up Dead Man,2025,https://boxd.it/uAKS,
49,War of the Worlds,2025,https://boxd.it/so0a,
50,Weapons,2025,https://boxd.it/EMTM,
51,Wicked: For Good,2025,https://boxd.it/AyfK,
52,The Smashing Machine,2025,https://boxd.it/syUC,
53,If I Had Legs I'd Kick You,2025,https://boxd.it/HUtS,
54,Roofman,2025,https://boxd.it/LcIW,
55,Is This Thing On?,2025,https://boxd.it/H73Q,
