Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-23,2026 Oscars - Best Picture Nominees,,https://boxd.it/RZgWK,

Position,Name,Year,URL,Description
1,Sentimental Value,2025,https://boxd.it/GwcG,
2,One Battle After Another,2025,https://boxd.it/DUHM,
3,Bugonia,2025,https://boxd.it/qeWY,
4,Hamnet,2025,https://boxd.it/woVy,
5,Marty Supreme,2025,https://boxd.it/Off0,
6,The Secret Agent,2025,https://boxd.it/KkUE,
7,Train Dreams,2025,https://boxd.it/LdDo,
8,Sinners,2025,https://boxd.it/KQMM,
9,F1,2025,https://boxd.it/yjVM,
10,Frankenstein,2025,https://boxd.it/Ecsg,
