Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-31,All-Time Favorites ,,https://boxd.it/ogtV0,"Films that were in, or are currently in my Favorites list on my profile"

Position,Name,Year,URL,Description
1,About Time,2013,https://boxd.it/43bI,
2,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
3,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
4,All the President's Men,1976,https://boxd.it/29lU,
5,The Worst Person in the World,2021,https://boxd.it/oyws,
6,Persona,1966,https://boxd.it/29B4,
7,Lady Bird,2017,https://boxd.it/dGNE,
8,Frances Ha,2012,https://boxd.it/41Xg,
9,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
10,Past Lives,2023,https://boxd.it/oNB8,
11,Mulholland Drive,2001,https://boxd.it/297o,
