Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-05,Best of 2025 - Ranked,top2025,https://boxd.it/RnNqm,Top 25 of 2025

Position,Name,Year,URL,Description
1,Sentimental Value,2025,https://boxd.it/GwcG,
2,"Sorry, Baby",2025,https://boxd.it/JKNi,
3,No Other Choice,2025,https://boxd.it/nKiA,
4,One Battle After Another,2025,https://boxd.it/DUHM,
5,Marty Supreme,2025,https://boxd.it/Off0,
6,Bugonia,2025,https://boxd.it/qeWY,
7,Sinners,2025,https://boxd.it/KQMM,
8,The Secret Agent,2025,https://boxd.it/KkUE,
9,Hamnet,2025,https://boxd.it/woVy,
10,Train Dreams,2025,https://boxd.it/LdDo,
11,The Naked Gun,2025,https://boxd.it/Da9k,
12,Together,2025,https://boxd.it/LdFE,
13,Weapons,2025,https://boxd.it/EMTM,
14,Superman,2025,https://boxd.it/E9IU,
15,Mickey 17,2025,https://boxd.it/q1Dk,
16,The Phoenician Scheme,2025,https://boxd.it/H0Ca,
17,If I Had Legs I'd Kick You,2025,https://boxd.it/HUtS,
18,Jay Kelly,2025,https://boxd.it/EsWw,
19,Wake Up Dead Man,2025,https://boxd.it/uAKS,
20,"Oh, Hi!",2025,https://boxd.it/PLns,
21,Companion,2025,https://boxd.it/F04o,
22,Frankenstein,2025,https://boxd.it/Ecsg,
23,F1,2025,https://boxd.it/yjVM,
24,Materialists,2025,https://boxd.it/GZlW,
25,War of the Worlds,2025,https://boxd.it/so0a,
