Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-30,David Lynch Archive - Ranked,,https://boxd.it/DBUgK,Watching all of David Lynch’s work on archive.org in chronological order

Position,Name,Year,URL,Description
1,Mulholland Drive,2001,https://boxd.it/297o,
2,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,
3,Blue Velvet,1986,https://boxd.it/29BI,
4,The Elephant Man,1980,https://boxd.it/27LQ,
5,The Straight Story,1999,https://boxd.it/2ass,
6,Inland Empire,2006,https://boxd.it/28d6,
7,Wild at Heart,1990,https://boxd.it/2aii,
8,Lost Highway,1997,https://boxd.it/29Wc,
9,Eraserhead,1977,https://boxd.it/299u,
10,Mulholland Dr.,1999,https://boxd.it/5Dxs,
11,Twin Peaks: The Missing Pieces,2014,https://boxd.it/8NH4,
12,Hotel Room,1993,https://boxd.it/gBG,
13,Dune,1984,https://boxd.it/29tY,
14,Industrial Symphony No. 1: The Dream of the Brokenhearted,1990,https://boxd.it/Spo,
15,David Lynch: The Art Life,2016,https://boxd.it/eASq,
16,Duran Duran: Unstaged,2011,https://boxd.it/8N76,
