Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-08-28,Ghibli Ranked,,https://boxd.it/yhl9E,

Position,Name,Year,URL,Description
1,Princess Mononoke,1997,https://boxd.it/2b4w,
2,Spirited Away,2001,https://boxd.it/2b4m,
3,The Wind Rises,2013,https://boxd.it/4JQS,
4,The Tale of The Princess Kaguya,2013,https://boxd.it/4JQI,
5,Only Yesterday,1991,https://boxd.it/1MR4,
6,Ponyo,2008,https://boxd.it/1S0A,
7,Grave of the Fireflies,1988,https://boxd.it/1RUM,
8,Whisper of the Heart,1995,https://boxd.it/17uy,
9,The Boy and the Heron,2023,https://boxd.it/ipeM,
10,Howl's Moving Castle,2004,https://boxd.it/23De,
11,Kiki's Delivery Service,1989,https://boxd.it/1JAY,
12,Porco Rosso,1992,https://boxd.it/1Tp2,
13,My Neighbor Totoro,1988,https://boxd.it/20eA,
14,The Secret World of Arrietty,2010,https://boxd.it/AF4,
15,My Neighbors the Yamadas,1999,https://boxd.it/1KC2,
16,Castle in the Sky,1986,https://boxd.it/1W4G,
17,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,
18,From Up on Poppy Hill,2011,https://boxd.it/2VCa,
19,The Red Turtle,2016,https://boxd.it/bdkE,
20,The Cat Returns,2002,https://boxd.it/1Mne,
21,When Marnie Was There,2014,https://boxd.it/78pm,
22,Pom Poko,1994,https://boxd.it/1Mvi,
23,Ocean Waves,1993,https://boxd.it/1CtQ,
24,Tales from Earthsea,2006,https://boxd.it/17ae,
25,Earwig and the Witch,2020,https://boxd.it/pu34,
