Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-05,Owned,owned,https://boxd.it/RoSAe,

Position,Name,Year,URL,Description
1,(500) Days of Summer,2009,https://boxd.it/1EmM,
2,About Time,2013,https://boxd.it/43bI,
3,After Hours,1985,https://boxd.it/1VfS,
4,Amélie,2001,https://boxd.it/2aUc,
5,Before Sunrise,1995,https://boxd.it/2bcU,
6,Before Sunset,2004,https://boxd.it/2bcg,
7,Blue Velvet,1986,https://boxd.it/29BI,
8,Booksmart,2019,https://boxd.it/igNS,
9,Chinatown,1974,https://boxd.it/29vU,
10,Citizen Kane,1941,https://boxd.it/71O,
11,The Darjeeling Limited,2007,https://boxd.it/24as,
12,Fargo,1996,https://boxd.it/2aHM,
13,Frances Ha,2012,https://boxd.it/41Xg,
14,The Godfather,1972,https://boxd.it/2aNK,
15,Gone Girl,2014,https://boxd.it/6hQu,
16,Hot Fuzz,2007,https://boxd.it/2416,
17,House,1977,https://boxd.it/1vsm,
18,Juno,2007,https://boxd.it/210a,
19,Lady Bird,2017,https://boxd.it/dGNE,
20,Little Miss Sunshine,2006,https://boxd.it/29EW,
21,Mulholland Drive,2001,https://boxd.it/297o,
22,Ocean's Eleven,2001,https://boxd.it/2aZm,
23,Past Lives,2023,https://boxd.it/oNB8,
24,Perfect Days,2023,https://boxd.it/ATh8,
25,The Pianist,2002,https://boxd.it/2aqc,
26,Princess Mononoke,1997,https://boxd.it/2b4w,
27,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
28,Rushmore,1998,https://boxd.it/1TAO,
29,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
30,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,
31,The Social Network,2010,https://boxd.it/17ue,
32,Spirited Away,2001,https://boxd.it/2b4m,
33,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,
34,WALL·E,2008,https://boxd.it/1VEo,
35,The Worst Person in the World,2021,https://boxd.it/oyws,
36,Yi Yi,2000,https://boxd.it/1vCw,
37,The Big Lebowski,1998,https://boxd.it/2b6C,
38,Punch-Drunk Love,2002,https://boxd.it/20E4,
39,The Blues Brothers,1980,https://boxd.it/2adi,
40,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
41,Wayne's World,1992,https://boxd.it/1ZHG,
