Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-09-21,S-Tier,"topstats, profile",https://boxd.it/ilOfq,

Position,Name,Year,URL,Description
1,Past Lives,2023,https://boxd.it/oNB8,
2,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
3,Frances Ha,2012,https://boxd.it/41Xg,
4,Mulholland Drive,2001,https://boxd.it/297o,
5,The Worst Person in the World,2021,https://boxd.it/oyws,
6,About Time,2013,https://boxd.it/43bI,
7,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
8,Lady Bird,2017,https://boxd.it/dGNE,
9,Princess Mononoke,1997,https://boxd.it/2b4w,
10,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
11,The Truman Show,1998,https://boxd.it/18U8,
12,Persona,1966,https://boxd.it/29B4,
13,Hot Rod,2007,https://boxd.it/1X9C,
14,"Planes, Trains and Automobiles",1987,https://boxd.it/26zE,
15,All the President's Men,1976,https://boxd.it/29lU,
16,The Apartment,1960,https://boxd.it/2aGE,
17,Aftersun,2022,https://boxd.it/Arw0,
18,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
19,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,
20,Rushmore,1998,https://boxd.it/1TAO,
21,Lars and the Real Girl,2007,https://boxd.it/21tG,
22,Wild Strawberries,1957,https://boxd.it/29ZU,
23,Perfect Days,2023,https://boxd.it/ATh8,
24,Punch-Drunk Love,2002,https://boxd.it/20E4,
25,Columbus,2017,https://boxd.it/eCuA,
