Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-31,Summer ‘23 - Top 50,,https://boxd.it/ofYAU,"Top 50 of my 75+ first watches this summer at home:
(May 11 - August 4)"

Position,Name,Year,URL,Description
1,Frances Ha,2012,https://boxd.it/41Xg,
2,Persona,1966,https://boxd.it/29B4,
3,Autumn Sonata,1978,https://boxd.it/1Rio,
4,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
5,Oppenheimer,2023,https://boxd.it/wUow,
6,Barbie,2023,https://boxd.it/bCLK,
7,Hot Rod,2007,https://boxd.it/1X9C,
8,The Squid and the Whale,2005,https://boxd.it/1VAG,
9,Wild Strawberries,1957,https://boxd.it/29ZU,
10,Clueless,1995,https://boxd.it/1Ygk,
11,After Hours,1985,https://boxd.it/1VfS,
12,Palm Springs,2020,https://boxd.it/lCXQ,
13,Marriage Story,2019,https://boxd.it/hJAw,
14,There Will Be Blood,2007,https://boxd.it/20Z2,
15,M,1931,https://boxd.it/29vq,
16,Juno,2007,https://boxd.it/210a,
17,Nope,2022,https://boxd.it/sDCe,
18,Moonlight,2016,https://boxd.it/d6bE,
19,8½,1963,https://boxd.it/2aqm,
20,The Skeleton Twins,2014,https://boxd.it/7bCS,
21,"I, Tonya",2017,https://boxd.it/dzR0,
22,"I Love You, Man",2009,https://boxd.it/1JZu,
23,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0,
24,Trainspotting,1996,https://boxd.it/29XY,
25,My Dinner with Andre,1981,https://boxd.it/1vLe,
26,Dirty Harry,1971,https://boxd.it/299E,
27,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
28,Greenberg,2010,https://boxd.it/1rt6,
29,Lost in Translation,2003,https://boxd.it/2b0E,
30,Forgetting Sarah Marshall,2008,https://boxd.it/1XEq,
31,The Seventh Seal,1957,https://boxd.it/2ahO,
32,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
33,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM,
34,Battle Royale,2000,https://boxd.it/25zS,
35,Air,2023,https://boxd.it/Arlc,
36,Election,1999,https://boxd.it/1YEc,
37,The Lego Batman Movie,2017,https://boxd.it/azp0,
38,Mission: Impossible,1996,https://boxd.it/29d2,
39,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,
40,Bros,2022,https://boxd.it/mJZw,
41,Silver Linings Playbook,2012,https://boxd.it/2TTo,
42,Magnum Force,1973,https://boxd.it/1VJy,
43,61*,2001,https://boxd.it/1DjM,
44,A Man Called Otto,2022,https://boxd.it/zl06,
45,Kicking and Screaming,1995,https://boxd.it/1pHK,
46,M3GAN,2022,https://boxd.it/jxmG,
47,Emily the Criminal,2022,https://boxd.it/wBOq,
48,This Is the End,2013,https://boxd.it/3GB4,
49,Horrible Bosses,2011,https://boxd.it/Ba2,
50,Easy A,2010,https://boxd.it/17DK,
