Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-06-05,Wes,,https://boxd.it/HDHkk,

Position,Name,Year,URL,Description
1,Rushmore,1998,https://boxd.it/1TAO,
2,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
3,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
4,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
5,The Phoenician Scheme,2025,https://boxd.it/H0Ca,
6,Asteroid City,2023,https://boxd.it/s3ds,
7,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,
8,Bottle Rocket,1996,https://boxd.it/1PDa,
9,Moonrise Kingdom,2012,https://boxd.it/2Wng,
