Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-10-31,Barbarian,2022,https://boxd.it/3nHWqN,4.5,,wtf lol,,2022-10-31
2022-12-28,Bullet Train,2022,https://boxd.it/3AWLPT,4,,A perfect theater movie,in theater,2022-08-05
2023-01-02,Runaway Christmas Bride,2017,https://boxd.it/3CZlCN,0.5,,Simultaneously the worst and best movie I’ve seen,w/ fam,2023-01-01
2023-01-04,The Menu,2022,https://boxd.it/3DNhJv,4,,mmm cheseborger 🍔,,2023-01-03
2023-01-04,The Lobster,2015,https://boxd.it/3DSKpJ,4.5,,Moonrise Kingdom but good,,2023-01-03
2023-01-05,The Banshees of Inisherin,2022,https://boxd.it/3EcBhV,3.5,,Kid named finger:,,2023-01-04
2023-01-08,This Place Rules,2022,https://boxd.it/3Fu67l,3,,Fun little Jan 6 watch 😜,,2023-01-08
2023-01-09,Gone Girl,2014,https://boxd.it/3FEzPV,4.5,,This happened to my buddy Jeff once,,2023-01-08
2023-01-18,The Worst Person in the World,2021,https://boxd.it/3J0aoB,5,,RenATE Reinsve (i’m sorry),,2023-01-18
2023-01-19,The Florida Project,2017,https://boxd.it/3JgcIF,3.5,,Willem DaFoe talks to birds,,2023-01-18
2023-01-27,¡Three Amigos!,1986,https://boxd.it/3LDzBh,3,,Only fitting,,2023-01-26
2023-01-30,Puss in Boots: The Last Wish,2022,https://boxd.it/3MC3cr,4,,I love pussy boots ❤️‍🔥,"w/ sam, in theater",2023-01-29
2023-02-06,Slumdog Millionaire,2008,https://boxd.it/3OYpnD,4,,Trying to get me a sugar daddy like Jamal fr,,2023-02-05
2023-02-07,Thank You for Smoking,2005,https://boxd.it/3Pg7UZ,4,,mmmm cigarette butts 😋,,2023-02-06
2023-02-09,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/3PKGSJ,3.5,,Michael Keaton nose job causes him to jump off building,,2023-02-09
2023-02-11,Licorice Pizza,2021,https://boxd.it/3QfrdX,3.5,,And I thought pineapple on pizza was bad…,,2023-02-11
