Date,Name,Year,Letterboxd URI
2022-01-05,Parasite,2019,https://boxd.it/hTha
2022-01-05,Joker,2019,https://boxd.it/h4cS
2022-01-05,Knives Out,2019,https://boxd.it/jWEA
2022-01-05,Pulp Fiction,1994,https://boxd.it/29Pq
2022-01-05,Inception,2010,https://boxd.it/1skk
2022-01-05,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2022-01-05,The Dark Knight,2008,https://boxd.it/2b0k
2022-01-05,La La Land,2016,https://boxd.it/a5fa
2022-01-05,Avengers: Infinity War,2018,https://boxd.it/9vEe
2022-01-05,Inglourious Basterds,2009,https://boxd.it/1JzG
2022-01-05,Dune,2021,https://boxd.it/fA7G
2022-01-05,Her,2013,https://boxd.it/4O24
2022-01-05,The Social Network,2010,https://boxd.it/17ue
2022-01-05,Django Unchained,2012,https://boxd.it/2cCk
2022-01-05,The Truman Show,1998,https://boxd.it/18U8
2022-01-05,The Lighthouse,2019,https://boxd.it/icFU
2022-01-05,Uncut Gems,2019,https://boxd.it/gXGc
2022-01-05,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2022-01-05,1917,2019,https://boxd.it/jj4y
2022-01-05,Thor: Ragnarok,2017,https://boxd.it/8MHi
2022-01-05,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2022-01-05,Forrest Gump,1994,https://boxd.it/728
2022-01-05,Soul,2020,https://boxd.it/ioLA
2022-01-05,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2022-01-05,Coco,2017,https://boxd.it/bYJQ
2022-01-05,American Psycho,2000,https://boxd.it/28Vs
2022-01-05,Star Wars,1977,https://boxd.it/72s
2022-01-05,Taxi Driver,1976,https://boxd.it/2b8y
2022-01-05,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2022-01-05,Shutter Island,2010,https://boxd.it/1U82
2022-01-05,The Shawshank Redemption,1994,https://boxd.it/2aHi
2022-01-05,Tenet,2020,https://boxd.it/leq4
