Date,Name,Year,Letterboxd URI
2022-01-05,Drive,2011,https://boxd.it/IG
2022-01-05,Casablanca,1942,https://boxd.it/2aG0
2022-01-05,Vertigo,1958,https://boxd.it/2apI
2023-02-07,TÁR,2022,https://boxd.it/uNIA
2023-02-11,Nobody,2021,https://boxd.it/mLqS
2023-02-19,Air Force One,1997,https://boxd.it/1XQw
2023-03-02,Front of the Class,2008,https://boxd.it/9s8
2023-03-07,Come and See,1985,https://boxd.it/1w9q
2023-03-07,In Bruges,2008,https://boxd.it/20n8
2023-03-07,Requiem for a Dream,2000,https://boxd.it/29VI
2023-03-14,The Thing,1982,https://boxd.it/294O
2023-03-15,The King's Speech,2010,https://boxd.it/dX0
2023-03-15,The Godfather,1972,https://boxd.it/2aNK
2023-03-15,GoodFellas,1990,https://boxd.it/29FA
2023-03-15,The Human Condition I: No Greater Love,1959,https://boxd.it/1jAy
2023-03-15,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2023-03-15,Lawrence of Arabia,1962,https://boxd.it/2wRE
2023-03-16,The Artist,2011,https://boxd.it/2AwK
2023-04-16,Psycho,1960,https://boxd.it/2ab2
2023-05-01,The Red Balloon,1956,https://boxd.it/1Mxo
2023-05-03,The Wicker Man,1973,https://boxd.it/1KnG
2023-05-08,La Haine,1995,https://boxd.it/2as8
2023-05-10,The Terminal,2004,https://boxd.it/2a2O
2023-05-12,Looper,2012,https://boxd.it/ham
2023-05-14,Apollo 10½: A Space Age Childhood,2022,https://boxd.it/oKiM
2023-05-14,The Bad News Bears,1976,https://boxd.it/1zb0
2023-05-14,Face/Off,1997,https://boxd.it/29I0
2023-05-14,Field of Dreams,1989,https://boxd.it/26VK
2023-05-17,Temple Grandin,2010,https://boxd.it/1fbu
2023-05-17,Infinity Pool,2023,https://boxd.it/oPSK
2023-05-17,Prisoners,2013,https://boxd.it/4E5i
2023-05-17,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS
2023-05-17,The Doors,1991,https://boxd.it/1W18
2023-05-18,Sugar,2008,https://boxd.it/1Jmi
2023-05-19,The Witch,2015,https://boxd.it/9X0m
2023-05-20,Pierrot le Fou,1965,https://boxd.it/26j2
2023-05-22,An American Werewolf in London,1981,https://boxd.it/29yk
2023-05-22,Ad Astra,2019,https://boxd.it/ePzI
2023-05-22,12 Years a Slave,2013,https://boxd.it/2D2e
2023-05-22,Monsters University,2013,https://boxd.it/bQm
2023-05-24,Babylon,2022,https://boxd.it/mM02
2023-06-11,Raging Bull,1980,https://boxd.it/28yI
2023-06-11,Ikiru,1952,https://boxd.it/251c
2023-06-11,Breathless,1960,https://boxd.it/2aIK
